title,control_title,Mod,priority,Recommendation Steps/Approach,Status,COST
Account,Security contact information should be provided for an AWS account,Compliance, p1
Account,AWS account should be part of AWS Organizations,Compliance, p1
ACM,ACM certificates should not expire within 30 days,Compliance,P1
ACM,Ensure that ACM certificates are not in failed state,Compliance,P1
ACM,Ensure that ACM certificates are not in pending validation state,Compliance,P1
ACM,ACM certificates should not use wildcard certificates,Compliance,P1
ACM,Ensure that all the expired ACM certificates are removed,Compliance,P1
ACM,ACM certificates should have transparency logging enabled,Compliance,P1
ACM,ACM certificates should not expire within 30 days,Compliance,P1
ACM,Ensure that ACM certificates are not in failed state,Compliance,P1
ACM,Ensure that ACM certificates are not in pending validation state,Compliance,P1
ACM,ACM certificates should not use wildcard certificates,Compliance,P1
ACM,Ensure that all the expired ACM certificates are removed,Compliance,P1
ACM,ACM certificates should have transparency logging enabled,Compliance, p1
API Gateway,API Gateway methods authorizer should be configured,Compliance, p1
API Gateway,API Gateway methods request parameter should be validated,Compliance, p3
API Gateway,API Gateway REST API public endpoints should be configured with authorizer,Compliance, p1
API Gateway,API Gateway routes should specify an authorization type,Compliance, p1
API Gateway,API Gateway V2 authorizer should be configured,Compliance, p3
API Gateway,API Gateway stages should have authorizers configured,Compliance, p1
API Gateway,API Gateway REST API endpoint type should be configured to private,Compliance, p1
API Gateway,API Gateway stage should uses SSL certificate,Compliance, p1
API Gateway,API Gateway REST API stages should have AWS X-Ray tracing enabled,Compliance, p3
API Gateway,API Gateway stage cache encryption at rest should be enabled,Compliance, p1
API Gateway,API Gateway stage logging should be enabled,Compliance, p1
API Gateway,API Gateway stage should be associated with waf,Compliance, p1
API Gateway,Access logging should be configured for API Gateway V2 Stages,Compliance, p3
AppStream,AppStream fleet default internet access should be disabled,Compliance, p1
AppStream,AppStream fleet idle disconnect timeout should be set to less than or equal to 10 mins,Compliance, p3
AppStream,AppStream fleet max user duration should be set to less than 10 hours,Compliance, p3
AppStream,AppStream fleet session disconnect timeout should be set to less than or equal to 5 mins,Compliance, p3
AppSync,AppSync graphql API logging should be enabled,Compliance, p1
Athena,Athena workgroups should be encrypted at rest,Compliance, p3
Athena,Athena workgroups should enforce configuration,Compliance, p3
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data,Compliance, p3
Auto Scaling,EC2 auto scaling groups should cover multiple availability zones,Compliance, p3
